Archivo,Categoria,Subcategoria,Nombre,Ref_Interna,Color,Precio,Contenido
bolsa-de-bolo-bella,Empaque,Bolsa para Bolo,Princesa de Vestido Amarillo,Bella,,16,
bolsa-de-bolo-princesas-disney,Empaque,Bolsa para Bolo,Dos Princesas de Cuento,Princesas Disney,,16,
bolsa-de-bolo-the-batman,Empaque,Bolsa para Bolo,Héroe Murciélago,The Batman,,16,
bolsa-de-bolo-plim-plim-abeja,Empaque,Bolsa para Bolo,Abejita Amarilla Feliz,Plim Plim (Abeja),,16,
bolsa-de-bolo-el-chavo-animado,Empaque,Bolsa para Bolo,Niño de Barril,El Chavo Animado,,16,
bolsa-de-bolo-la-granja-de-zenon,Empaque,Bolsa para Bolo,Animales de Granja,La Granja de Zenón,,16,
bolsa-de-bolo-jessie-toy-story,Empaque,Bolsa para Bolo,Vaquera de Juguete,Toy Story (Jessie),,16,
bolsa-de-bolo-plim-plim-circo,Empaque,Bolsa para Bolo,Payasito de Circo,Plim Plim,,16,
bolsa-de-bolo-cenicienta,Empaque,Bolsa para Bolo,Princesa de Vestido Azul,Cenicienta,,16,
bolsa-de-bolo-plim-plim-abeja-azul,Empaque,Bolsa para Bolo,Abejita Azul Voladora,Plim Plim (Abeja Azul),,16,
bolsa-de-bolo-minecraft,Empaque,Bolsa para Bolo,Bloques de Videojuego,Minecraft,,16,
bolsa-de-bolo-minnie-mouse,Empaque,Bolsa para Bolo,Ratoncita de Moño,Minnie Mouse,,16,
bolsa-de-bolo-futbol,Empaque,Bolsa para Bolo,Balones de Fútbol,Fútbol,,16,
bolsa-de-bolo-spiderman-felicidades,Empaque,Bolsa para Bolo,Superhéroe Araña Trepando,Spiderman,,16,
bolsa-de-bolo-hello-kitty,Empaque,Bolsa para Bolo,Gatita Blanca de Moño,Hello Kitty,,16,
bolera-de-carton-pequena,Empaque,Palomera,Palomera Grande,,,19,
bolo-de-carton-bely-y-beto,Empaque,Caja de Dulces,Payasitos Divertidos,Bely y Beto,,29,
bolo-de-carton-bella-y-bestia,Empaque,Caja de Dulces,Princesa y Bestia,Bella y Bestia,,29,
bolo-de-carton-spiderman,Empaque,Caja de Dulces,Superhéroe Rojo Araña,Spiderman,,29,
bolo-de-carton-lilo-y-stitch-hula,Empaque,Caja de Dulces,Koala Azul Bailando Hula,Lilo y Stitch (Hula),,29,
bolo-de-carton-dragon-ball-goku,Empaque,Caja de Dulces,Guerrero de Cabello Dorado,Dragon Ball (Goku),,29,
bolo-de-carton-minecraft,Empaque,Caja de Dulces,Bloques de Videojuego,Minecraft,,29,
bolo-de-carton-paw-patrol,Empaque,Caja de Dulces,Perritos Rescatistas,Paw Patrol,,29,
bolo-de-carton-stitch-feliz-cumple,Empaque,Caja de Dulces,Koala Azul de Cumpleaños,Stitch (Feliz Cumple),,29,
bolo-de-carton-minnie-mouse-roja,Empaque,Caja de Dulces,Ratoncita de Moño,Minnie Mouse (Roja),,29,
bolo-de-carton-hello-kitty-feliz-cumple,Empaque,Caja de Dulces,Gatita Blanca de Moño,Hello Kitty,,29,
bolo-de-carton-kuromi-feliz-cumple,Empaque,Caja de Dulces,Conejita Gótica,Kuromi,,29,
bolo-de-carton-masha-y-el-oso,Empaque,Caja de Dulces,Niña y Oso,Masha y el Oso,,29,
bolo-de-carton-labubu,Empaque,Caja de Dulces,Duende Peludo Sonriente,Labubu,,29,
feliz-cumpleanos-madera,Complementos,Topper,Feliz Cumpleaños Madera,,,16,
