"archivo_anterior","archivo_nuevo","categoria","subcategoria","nombre"
"mantel-metalico-para-mesa-01","mantel-foil-desechable-verde-plata","Manteles y Cortinas","Manteles Metálicos","Mantel Foil Desechable Verde/Plata"
"mantel-metalico-para-mesa-02","mantel-foil-desechable-negro-oro-rosa","Manteles y Cortinas","Manteles Metálicos","Mantel Foil Desechable Negro/Oro Rosa"
"mantel-metalico-para-mesa-03","mantel-foil-desechable-rojo-rosa-pastel","Manteles y Cortinas","Manteles Metálicos","Mantel Foil Desechable Rojo/Rosa Pastel"
"mantel-metalico-para-mesa-04","mantel-foil-desechable-azul-cielo-fucsia","Manteles y Cortinas","Manteles Metálicos","Mantel Foil Desechable Azul Cielo/Fucsia"
"mantel-metalico-para-mesa-05","mantel-foil-desechable-azul-rey-dorado","Manteles y Cortinas","Manteles Metálicos","Mantel Foil Desechable Azul Rey/Dorado"
"mantel-para-mesa-02","mantel-plastico-reusable-morado","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Morado"
"mantel-para-mesa-03","mantel-plastico-reusable-rosa","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Rosa"
"mantel-para-mesa-04","mantel-plastico-reusable-cafe","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Café"
"mantel-para-mesa-05","mantel-plastico-reusable-verde","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Verde"
"mantel-para-mesa-06","mantel-plastico-reusable-blanco","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Blanco"
"mantel-para-mesa-07","mantel-plastico-reusable-negro","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Negro"
"mantel-para-mesa-08","mantel-plastico-reusable-lila","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Lila"
"mantel-para-mesa-09","mantel-plastico-reusable-amarillo","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Amarillo"
"mantel-para-mesa-10","mantel-plastico-reusable-naranja","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Naranja"
"mantel-para-mesa-11","mantel-plastico-reusable-verde-limon","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Verde Limón"
"mantel-para-mesa-12","mantel-plastico-reusable-oro","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Oro"
"mantel-para-mesa-13","mantel-plastico-reusable-salmon","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Salmón"
"mantel-para-mesa-14","mantel-plastico-reusable-rosa-pastel","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Rosa Pastel"
"mantel-para-mesa-15","mantel-plastico-reusable-plata","Manteles y Cortinas","Manteles","Mantel Plástico Reusable Plata"
"cortina-cuadrado-01","cortina-metalica-cuadros-plata","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Plata"
"cortina-cuadrado-02","cortina-metalica-cuadros-verde","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Verde"
"cortina-cuadrado-03","cortina-metalica-cuadros-azul-cielo","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Azul Cielo"
"cortina-cuadrado-04","cortina-metalica-cuadros-morado","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Morado"
"cortina-cuadrado-05","cortina-metalica-cuadros-amarillo","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Amarillo"
"cortina-cuadrado-07","cortina-metalica-cuadros-dorado","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Dorado"
"cortina-cuadrado-08","cortina-metalica-cuadros-negro","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Negro"
"cortina-cuadrado-10","cortina-metalica-cuadros-oro-rosa","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Oro Rosa"
"cortina-cuadrado-11","cortina-metalica-cuadros-rosa-pastel","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Rosa Pastel"
"cortina-cuadrado-12","cortina-metalica-cuadros-rojo","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Rojo"
"cortina-cuadrado-13","cortina-metalica-cuadros-naranja","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Naranja"
"cortina-cuadrado-14","cortina-metalica-cuadros-bronce","Manteles y Cortinas","Cortina Cuadrada","Cortina Metálica Cuadros Bronce"
"cortina-cuadrado-chico-01","cortina-metalica-cuadros-chicos-azul-marino","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Azul Marino"
"cortina-cuadrado-chico-02","cortina-metalica-cuadros-chicos-dorado","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Dorado"
"cortina-cuadrado-chico-03","cortina-metalica-cuadros-chicos-guinda","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Guinda"
"cortina-cuadrado-chico-04","cortina-metalica-cuadros-chicos-negro-rojo","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Negro / Rojo"
"cortina-cuadrado-chico-05","cortina-metalica-cuadros-chicos-azul-rosa","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Azul / Rosa"
"cortina-cuadrado-chico-06","cortina-metalica-cuadros-chicos-plata-dorado","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Plata / Dorado"
"cortina-cuadrado-chico-07","cortina-metalica-cuadros-chicos-oro-rosa-morado","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Oro Rosa / Morado"
"cortina-cuadrado-chico-08","cortina-metalica-cuadros-chicos-colores-surtidos","Manteles y Cortinas","Cortina Cuadrada Chica","Cortina Metálica Cuadros Chicos Colores Surtidos"
"espuma-01","espuma-para-fiesta-colores-surtidos-1","Accesorios","Espuma","Espuma para Fiesta Colores Surtidos 1"
"espuma-02","espuma-para-fiesta-colores-surtidos-2","Accesorios","Espuma","Espuma para Fiesta Colores Surtidos 2"
"espuma-03","espuma-para-fiesta-colores-surtidos-3","Accesorios","Espuma","Espuma para Fiesta Colores Surtidos 3"
"mariposas-01","decoracion-mariposas-3d-colores-surtidos-1","Accesorios","Mariposas","Decoración Mariposas 3D Colores Surtidos 1"
"espantasuegras-01","espantasuegras-colores-surtidos-1","Accesorios","Espantasuegras","Espantasuegras Colores Surtidos 1"
"bomba-electrica-para-inflar-globos-01","inflador-electrico-para-globos","Accesorios","Bombas para Inflar","Inflador Eléctrico para Globos"
"bomba-manual-para-inflar-globos-01","inflador-manual-para-globos","Accesorios","Bombas para Inflar","Inflador Manual para Globos"
"invitaciones-01","invitaciones-infantiles-personajes-surtidos","Accesorios","Invitaciones","Invitaciones Infantiles Personajes Surtidos"
"palo-para-pinata-01","palo-para-pinata-decorado-colores-surtidos","Accesorios","Palo para Piñata","Palo para Piñata Decorado Colores Surtidos"
"bolsas-para-bolo-01","bolsa-de-bolo-feliz-cumpleanos","Accesorios","Bolsas para Bolo","Bolsa de Bolo Feliz Cumpleaños"
"bolsas-para-bolo-02","bolsa-de-bolo-sonic","Accesorios","Bolsas para Bolo","Bolsa de Bolo Sonic"
"bolsas-para-bolo-03","bolsa-de-bolo-dinosaurios","Accesorios","Bolsas para Bolo","Bolsa de Bolo Dinosaurios"
"bolsas-para-bolo-04","bolsa-de-bolo-paw-patrol","Accesorios","Bolsas para Bolo","Bolsa de Bolo Paw Patrol"
"bolsas-para-bolo-05","bolsa-de-bolo-toy-story","Accesorios","Bolsas para Bolo","Bolsa de Bolo Toy Story"
"bolsas-para-bolo-06","bolsa-de-bolo-kuromi","Accesorios","Bolsas para Bolo","Bolsa de Bolo Kuromi"
"bolsas-para-bolo-07","bolsa-de-bolo-moana","Accesorios","Bolsas para Bolo","Bolsa de Bolo Moana"
"bolsas-para-bolo-08","bolsa-de-bolo-rapunzel","Accesorios","Bolsas para Bolo","Bolsa de Bolo Rapunzel"
"bolsas-para-bolo-09","bolsa-de-bolo-roblox","Accesorios","Bolsas para Bolo","Bolsa de Bolo Roblox"
"bolsas-para-bolo-10","bolsa-de-bolo-huntrx","Accesorios","Bolsas para Bolo","Bolsa de Bolo Huntrx"
"bolsas-para-bolo-11","bolsa-de-bolo-spiderman","Accesorios","Bolsas para Bolo","Bolsa de Bolo Spiderman"
"bolsas-para-bolo-12","bolsa-de-bolo-stitch","Accesorios","Bolsas para Bolo","Bolsa de Bolo Stitch"
"bolsas-para-bolo-13","bolsa-de-bolo-sirenita","Accesorios","Bolsas para Bolo","Bolsa de Bolo Sirenita"
"bolsas-para-bolo-14","bolsa-de-bolo-superman","Accesorios","Bolsas para Bolo","Bolsa de Bolo Superman"
"bolsas-para-bolo-15","bolsa-de-bolo-mario-bros","Accesorios","Bolsas para Bolo","Bolsa de Bolo Mario Bros"
"bolsas-para-bolo-16","bolsa-de-bolo-avengers","Accesorios","Bolsas para Bolo","Bolsa de Bolo Avengers"
"bolsas-para-bolo-17","bolsa-de-bolo-avengers-age-of-ultron","Accesorios","Bolsas para Bolo","Bolsa de Bolo Avengers Age of Ultron"
"bolsas-para-bolo-18","bolsa-de-bolo-vaca","Accesorios","Bolsas para Bolo","Bolsa de Bolo Vaca"
"bolsas-para-bolo-19","bolsa-de-bolo-princesa-peach","Accesorios","Bolsas para Bolo","Bolsa de Bolo Princesa Peach"
"bolsas-para-bolo-20","bolsa-de-bolo-cars","Accesorios","Bolsas para Bolo","Bolsa de Bolo Cars"
"bolsas-para-bolo-21","bolsa-de-bolo-harry-potter","Accesorios","Bolsas para Bolo","Bolsa de Bolo Harry Potter"
"bolsas-para-bolo-22","bolsa-de-bolo-masha-y-el-oso","Accesorios","Bolsas para Bolo","Bolsa de Bolo Masha y el Oso"
"bolsas-para-bolo-23","bolsa-de-bolo-bella","Accesorios","Bolsas para Bolo","Bolsa de Bolo Bella"
"bolsas-para-bolo-24","bolsa-de-bolo-princesas-disney","Accesorios","Bolsas para Bolo","Bolsa de Bolo Princesas Disney"
"bolsas-para-bolo-25","bolsa-de-bolo-the-batman","Accesorios","Bolsas para Bolo","Bolsa de Bolo The Batman"
"bolsas-para-bolo-26","bolsa-de-bolo-plim-plim-abeja","Accesorios","Bolsas para Bolo","Bolsa de Bolo Plim Plim Abeja"
"bolsas-para-bolo-27","bolsa-de-bolo-el-chavo-animado","Accesorios","Bolsas para Bolo","Bolsa de Bolo El Chavo Animado"
"bolsas-para-bolo-28","bolsa-de-bolo-la-granja-de-zenon","Accesorios","Bolsas para Bolo","Bolsa de Bolo La Granja de Zenón"
"bolsas-para-bolo-29","bolsa-de-bolo-jessie-toy-story","Accesorios","Bolsas para Bolo","Bolsa de Bolo Jessie Toy Story"
"bolsas-para-bolo-30","bolsa-de-bolo-plim-plim-circo","Accesorios","Bolsas para Bolo","Bolsa de Bolo Plim Plim Circo"
"bolsas-para-bolo-31","bolsa-de-bolo-cenicienta","Accesorios","Bolsas para Bolo","Bolsa de Bolo Cenicienta"
"bolsas-para-bolo-32","bolsa-de-bolo-plim-plim-abeja-azul","Accesorios","Bolsas para Bolo","Bolsa de Bolo Plim Plim Abeja Azul"
"bolsas-para-bolo-33","bolsa-de-bolo-minecraft","Accesorios","Bolsas para Bolo","Bolsa de Bolo Minecraft"
"bolsas-para-bolo-34","bolsa-de-bolo-minnie-mouse","Accesorios","Bolsas para Bolo","Bolsa de Bolo Minnie Mouse"
"bolsas-para-bolo-35","bolsa-de-bolo-futbol","Accesorios","Bolsas para Bolo","Bolsa de Bolo Fútbol"
"bolsas-para-bolo-36","bolsa-de-bolo-spiderman-felicidades","Accesorios","Bolsas para Bolo","Bolsa de Bolo Spiderman Felicidades"
"bolsas-para-bolo-37","bolsa-de-bolo-hello-kitty","Accesorios","Bolsas para Bolo","Bolsa de Bolo Hello Kitty"
"bolera-de-carton-pequena-01","bolera-de-carton-pequena","Accesorios","Bolera de Cartón","Bolera de Cartón Pequeña"
"bolos-carton-01","bolo-de-carton-bely-y-beto","Accesorios","Bolos de Cartón","Bolo de Cartón Bely y Beto"
"bolos-carton-02","bolo-de-carton-bella-y-bestia","Accesorios","Bolos de Cartón","Bolo de Cartón Bella y Bestia"
"bolos-carton-03","bolo-de-carton-spiderman","Accesorios","Bolos de Cartón","Bolo de Cartón Spiderman"
"bolos-carton-04","bolo-de-carton-lilo-y-stitch-hula","Accesorios","Bolos de Cartón","Bolo de Cartón Lilo y Stitch Hula"
"bolos-carton-05","bolo-de-carton-dragon-ball-goku","Accesorios","Bolos de Cartón","Bolo de Cartón Dragon Ball Goku"
"bolos-carton-06","bolo-de-carton-minecraft","Accesorios","Bolos de Cartón","Bolo de Cartón Minecraft"
"bolos-carton-07","bolo-de-carton-paw-patrol","Accesorios","Bolos de Cartón","Bolo de Cartón Paw Patrol"
"bolos-carton-08","bolo-de-carton-stitch-feliz-cumple","Accesorios","Bolos de Cartón","Bolo de Cartón Stitch Feliz Cumple"
"bolos-carton-09","bolo-de-carton-minnie-mouse-roja","Accesorios","Bolos de Cartón","Bolo de Cartón Minnie Mouse Roja"
"bolos-carton-10","bolo-de-carton-hello-kitty-feliz-cumple","Accesorios","Bolos de Cartón","Bolo de Cartón Hello Kitty Feliz Cumple"
"bolos-carton-11","bolo-de-carton-kuromi-feliz-cumple","Accesorios","Bolos de Cartón","Bolo de Cartón Kuromi Feliz Cumple"
"bolos-carton-12","bolo-de-carton-masha-y-el-oso","Accesorios","Bolos de Cartón","Bolo de Cartón Masha y el Oso"
"bolos-carton-13","bolo-de-carton-labubu","Accesorios","Bolos de Cartón","Bolo de Cartón Labubu"
